id_candidate, no_trial, wrong_yes, level, ans_candidate, good_ans, reaction_time, time_stamp
Tou, 0, 0, 3, a, True, 0.69, 6.5
Tou, 1, 0, 2, a, True, 0.55, 8.29
Tou, 2, 0, 1, a, True, 0.25, 9.84
Tou, 3, 0, 7, a, True, 0.06, 11.51
Tou, 4, 0, 5, a, True, 0.99, 14.12
Tou, 5, 0, 7, a, True, 0.2, 15.8
Tou, 6, 0, 5, a, True, 0.18, 17.28
Tou, 7, 0, 7, a, True, 0.19, 19.12
Tou, 8, 0, 4, a, True, 0.08, 20.74
Tou, 9, 0, 5, a, True, 0.22, 22.44
Tou, 10, 0, 1, a, True, 0.48, 24.44
Tou, 11, 0, 3, a, True, 0.17, 26.11
Tou, 12, 0, 7, a, True, 0.2, 27.88
Tou, 13, 0, 7, a, True, 0.19, 29.37
Tou, 14, 0, 5, a, True, 0.21, 31.08
Tou, 15, 0, 6, a, True, 0.08, 32.65
Tou, 16, 0, 6, a, True, 0.37, 34.59
